대여소번호,대여소명,거치대수,주소,위도,경도,구
1848.0,벽산 디지털밸리 5차,10,서울특별시 금천구 가산동 60-73 벽산 디지털밸리 5차,37.4762764,126.88539124,금천구
1849.0,대륭포스트타워5차,10,서울특별시 금천구 디지털로9길 68 대륭포스트타워5차,37.48135376,126.88694,금천구
185.0,마포 신수공원 앞,15,서울특별시 마포구 현석동 106-32 마포 신수공원 앞,37.54254532,126.93429565,마포구
1850.0,코오롱테크노밸리,10,서울특별시 금천구 디지털로9길 56 코오롱테크노밸리,37.48015976,126.8863678,금천구
1851.0,가산디지털단지 7번출구,10,서울특별시 금천구 벚꽃로 309 가산디지털단지 7번출구,37.48123169,126.88148499,금천구
1852.0,혜명양로원 담장 옆,10,서울특별시 금천구 금하로29길 36 혜명양로원 담장 옆,37.45177078,126.91339874,금천구
1853.0,서울디자인직업전문학교 앞,10,서울특별시 금천구 가산로 70 서울디자인직업전문학교 앞,37.47248077,126.89586639,금천구
1854.0,가산아네스트 오피스텔 앞,10,서울특별시 금천구 남부순환로 1314 가산아네스트 오피스텔 앞,37.47817993,126.89740753,금천구
1855.0,성지아파트 옆 도로변,10,서울특별시 금천구 시흥대로51길 55 성지아파트 옆 도로변,37.45132065,126.89762115,금천구
1856.0,모두의학교,10,서울특별시 금천구 남부순환로128길 42 모두의학교,37.47840881,126.90737152,금천구
1857.0,주공14단지,15,서울특별시 금천구 한내로 69-54 주공14단지,37.46055984,126.88709259,금천구
1858.0,석수역1번출구 앞 (SK주유소),10,서울특별시 금천구 시흥대로 39-7 석수역1번출구 앞 (SK주유소),37.43727112,126.90268707,금천구
1859.0,대륭테크노타운 18차,20,서울특별시 금천구 가산디지털1로 19 대륭테크노타운 18차,37.4679985,126.88684082,금천구
186.0,월드컵공원,40,서울특별시 마포구 하늘공원로 108-1 월드컵공원,37.56396484,126.89820862,마포구
188.0,홍은동 정원여중 입구,10,서울특별시 서대문구 연희로37안길 51 홍은동 정원여중 입구,37.58638763,126.93512726,서대문구
1901.0,신도림동주민센터 앞,10,서울특별시 구로구 신도림로 40 구로구 신도림동 397-32,37.50733185,126.87973022,구로구
1904.0,도림천역 1번 출구 앞,10,서울특별시 구로구 경인로67길 160 구로구 신도림동 323-16,37.51424026,126.88287354,구로구
1906.0,신도림역 1번 출구 앞,20,서울특별시 구로구 경인로 688 구로구 신도림동 348-1,37.50971985,126.89009857,구로구
1907.0,구일우성(아) 육교 밑,12,서울특별시 구로구 구일로2길 59 구로구 구로동 685-524,37.48963165,126.87625885,구로구
1908.0,해원리바파크 육교 밑,10,서울특별시 구로구 구일로 110 구로구 구로동 642-107,37.49528503,126.87216187,구로구
191.0,정명학원,10,서울특별시 서대문구 응암로 66 정명학원,37.57889175,126.91073608,서대문구
1910.0,낙원교회 맞은편,5,서울특별시 구로구 구로동로42길 43 구로구 구로동 454-92,37.49750519,126.88437653,구로구
1911.0,구로디지털단지역 앞,10,서울특별시 구로구 시흥대로 577-2 구로구 구로동 1119,37.48493958,126.90132141,구로구
1912.0,한신휴아파트 앞,10,서울특별시 구로구 디지털로31길 120 구로구 구로동 772,37.48880005,126.89066315,구로구
1913.0,구로리공원,10,서울특별시 구로구 구로중앙로 13 구로구 구로동 136-14,37.49103165,126.89215088,구로구
1914.0,대림역4번출구,10,서울특별시 구로구 도림천로 351 구로구 구로동 72-9,37.49440384,126.89444733,구로구
1916.0,구로중학교앞,10,서울특별시 구로구 구로중앙로 48 구로구 구로동 65,37.49414062,126.88998413,구로구
192.0,연서어린이공원,10,서울특별시 서대문구 연희동 519-7 연서어린이공원,37.57222748,126.92306519,서대문구
1920.0,서울미래초등학교 사거리,10,서울특별시 구로구 새말로 73 구로구 구로동 50,37.50437927,126.88829803,구로구
1924.0,삼부르네상스파크빌,10,서울특별시 구로구 남부순환로 1299 구로구 가리봉동 127-30,37.47874069,126.89509583,구로구
1925.0,동양미래대학교 정문 옆,20,서울특별시 구로구 경인로 445 구로구 고척동 63-3,37.49988937,126.86769867,구로구
1928.0,고척스카이돔구장 광장,10,서울특별시 구로구 경인로 430 구로구 고척동 63-5,37.49946976,126.86840057,구로구
1929.0,고척근린공원 고척도서관 앞,10,서울특별시 구로구 고척로45길 31 구로구 고척동 산 9-14,37.50513458,126.85276031,구로구
1930.0,개봉지구대 개봉치안센터,7,서울특별시 구로구 경인로 293 구로구 개봉동 139-4,37.49768448,126.85372925,구로구
1931.0,개봉역(북측광장),10,서울특별시 구로구 경인로40길 47 구로구 개봉동 416-99,37.49499512,126.85825348,구로구
1933.0,개봉푸르지오아파트 상가,10,서울특별시 구로구 남부순환로 775 구로구 개봉동 92-1,37.5015831,126.84687042,구로구
1936.0,개봉역 1번 출구 자전거보관서쪽,10,서울특별시 구로구 경인로40길 47 구로구 개봉동 202-42,37.49428177,126.85921478,구로구
1937.0,한진아파트 입구,15,서울특별시 구로구 개봉로3길 87 구로구 개봉동 375-4,37.4860611,126.85201263,구로구
194.0,증산교 앞,10,서울특별시 서대문구 불광천길 36 증산교 앞,37.57731628,126.90296936,서대문구
1941.0,오류동역 2번출구,10,서울특별시 구로구 서해안로 2340-10 구로구 오류동 135-2,37.49393845,126.84405518,구로구
1943.0,온수역 북측,10,서울특별시 구로구 경인로3길 지하 64 구로구 온수동 119-4,37.49279022,126.82452393,구로구
1946.0,구로역 광장,10,서울특별시 구로구 구로중앙로 174 구로동 603-26,37.50311661,126.88038635,구로구
195.0,모래내고가차도,10,서울특별시 서대문구 연희동 446-76 모래내고가차도,37.56765747,126.91780853,서대문구
1951.0,천왕이펜하우스 4단지 상가 앞,20,서울특별시 구로구 천왕로 9 구로구 천왕동 79-11,37.48028946,126.83950043,구로구
1952.0,천왕연지타운2단지 앞,15,서울특별시 구로구 오리로 1102-10 구로구 천왕동 257-82,37.48210526,126.84572601,구로구
1953.0,천왕역 4번출구 뒤,20,서울특별시 구로구 오리로 지하 1154 구로구 오류동 174-6,37.48638535,126.83921051,구로구
1955.0,디지털입구 교차로,10,서울특별시 구로구 시흥대로 551 디지털입구 교차로,37.48288345,126.90103912,구로구
1956.0,도야미리숯불갈비 앞,10,서울특별시 구로구 신도림로 67 도야미리숯불갈비 앞,37.51000977,126.88204956,구로구
1957.0,구일고등학교 정문,15,서울특별시 구로구 구일로 90-51 구일고등학교 정문,37.49340057,126.87432861,구로구
1958.0,강서수도사업소민원센터,10,서울특별시 구로구 가마산로 272 강서수도사업소민원센터,37.49578094,126.89012146,구로구
1959.0,구로구의회 앞,10,서울특별시 구로구 가마산로25길 9-24 구로구의회 앞,37.49645615,126.8895874,구로구
196.0,연희교차로 인근,10,서울특별시 서대문구 홍제천로 48 연희교차로 인근,37.56612015,126.92589569,서대문구
1960.0,화광신문사 앞,10,서울특별시 구로구 공원로 68 화광신문사 앞,37.50284958,126.88948059,구로구
1961.0,신도림테크노근린공원,15,서울특별시 구로구 새말로 121-15 신도림테크노근린공원,37.50819397,126.89130402,구로구
1962.0,가리봉동주민센터,15,서울특별시 구로구 디지털로26길 5 가리봉동주민센터,37.48160172,126.89279938,구로구
1965.0,삼환로즈빌아파트 105동 옆,15,서울특별시 구로구 경인로 343 삼환로즈빌아파트 105동 옆,37.49723053,126.85919189,구로구
1966.0,한마을아파트 정문상가,10,서울특별시 구로구 경인로 382 한마을아파트 정문상가,37.49649811,126.86309814,구로구
1967.0,참새공원(백곡경노당),10,서울특별시 구로구 고척로21길 85 참새공원(백곡경노당),37.5051384,126.84433746,구로구
1968.0,동인오피스텔 건너편 소공원,12,서울특별시 구로구 고척로22길 64 동인오피스텔 건너편 소공원,37.49848175,126.84750366,구로구
1969.0,궁동생태공원,10,서울특별시 구로구 오리로 1352 궁동생태공원,37.50190353,126.82896423,구로구
1971.0,오정초교 앞 보도육교,10,서울특별시 구로구 경인로2길 10 오청초교 앞 보도육교,37.49072266,126.82639313,구로구
1973.0,오리로와 서해안도로 교차로 앞,10,서울특별시 구로구 오리로 1181 오리로와 서해안도로 교차로 앞,37.48859787,126.83649445,구로구
1974.0,신도림2차e편한세상아파트 203동 앞,10,서울특별시 구로구 신도림로 16 신도림2차e편한세상아파트 203동 앞,37.50518036,126.88253784,구로구
1975.0,대림역 1번 출입구 밑,10,서울특별시 구로구 도림천로 351 대림역 1번 출입구 밑,37.49256516,126.8947525,구로구
1976.0,남구로역 5번 출입구 앞,10,서울특별시 구로구 도림로 지하 7 남구로역 5번 출입구 앞,37.48567963,126.88670349,구로구
1977.0,천왕역 1번 출입구 앞,15,서울특별시 구로구 오리로 지하 1154 천왕역 1번 출입구 앞,37.48620987,126.83882141,구로구
1979.0,구로1동우체국 앞,10,서울특별시 구로구 구일로 64 구로1동우체국 앞,37.4920311,126.87377167,구로구
198.0,충정2교,15,서울특별시 서대문구 충정로3가 155-4 충청2교,37.5621376,126.96377563,서대문구
1981.0,천왕이펜하우스5단지 앞,10,서울특별시 구로구 천왕로 10 천왕이펜하우스5단지 앞,37.47943115,126.84269714,구로구
1983.0,구로동롯데아파트,10,서울특별시 구로구 새말로 31 구로동롯데아파트,37.50254822,126.88388062,구로구
1984.0,구로구청,10,서울특별시 구로구 가마산로 245 구로구청,37.49526596,126.88847351,구로구
1985.0,구로도서관,20,서울특별시 구로구 공원로 15 구로도서관,37.49851608,126.89199066,구로구
1986.0,태평양물산빌딩,15,서울특별시 구로구 디지털로31길 12 태평양물산IT빌딩 앞,37.48485947,126.89518738,구로구
1987.0,개봉아이파크아파트 앞,15,서울특별시 구로구 개봉로2길 133-15 개봉아이파크아파트 앞,37.49034119,126.8609314,구로구
1988.0,고척LIGA아파트 앞,20,서울특별시 구로구 중앙로 100 고척LIGA아파트 앞,37.50605011,126.86078644,구로구
199.0,서울 월드컵 경기장,30,서울특별시 마포구 성산동 515 서울 월드컵 경기장,37.56684494,126.89644623,마포구
1991.0,오류동역 맞은편,10,서울특별시 구로구 경인로 219 동방서적,37.49676132,126.84496307,구로구
1992.0,구로구배드민턴실내체육관 앞,19,서울특별시 구로구 경인로15길 75 구로구배드민턴실내체육관 앞,37.4917984,126.83242035,구로구
1993.0,금강수목원아파트 앞,10,서울특별시 구로구 오리로 1197 금강수목원아파트 앞,37.48937988,126.834198,구로구
1994.0,삼성전자 물류센터 앞,10,서울특별시 구로구 구일로 126 삼성전자 물류센터 앞,37.49699783,126.8717804,구로구
1996.0,구일역 1번 출입구 앞,20,서울특별시 구로구 구일로10길 27 SK허브수 A동,37.49539948,126.87100983,구로구
1998.0,고척교 교차로,8,서울특별시 구로구 경인로 482 롯데마트 건너편,37.49856949,126.871521,구로구
1999.0,수궁동 성당 주변,15,서울특별시 구로구 부일로11길 51 동양빌라 주변,37.49525833,126.83065796,구로구
200.0,국회의원회관,20,서울특별시 영등포구 의사당대로 1 1,37.52841568,126.91391754,영등포구
2000.0,신도림4차 e편한세상 아파트 1109동 앞,15,서울특별시 구로구 경인로65길 16-15 신도림4차 e편한세상 아파트 1109동 앞,37.5123291,126.88683319,구로구
2002.0,노들역 1번출구,20,서울특별시 동작구 노량진로 지하 238 동작구 본동 344-10,37.51284409,126.95246887,동작구
2003.0,사육신공원앞,10,서울특별시 동작구 노량진로 191 동작구 노량진동 152-7,37.51335907,126.94805908,동작구
